时间,收盘点位,PB市值加权,温度
2022/4/28,3921.11,1.3664,9.6
2022/4/27,3895.54,1.3622,9.1
2022/4/26,3784.12,1.3357,6.4
2022/4/25,3814.91,1.3467,7.5
2022/4/22,4013.25,1.4117,13.9
2022/4/21,3995.83,1.4035,13
2022/4/20,4070.79,1.4268,15.8
2022/4/19,4134.9,1.4468,17.4
2022/4/18,4166.38,1.4539,18.2
2022/4/15,4188.75,1.4662,19.6
2022/4/14,4191.57,1.4683,19.8
2022/4/13,4139.74,1.4521,18
2022/4/12,4179.97,1.4626,19
2022/4/11,4100.07,1.4392,16.9
2022/4/8,4230.77,1.4775,21.1
2022/4/7,4209.1,1.469,19.9
2022/4/6,4263.84,1.487,23.1
2022/4/1,4276.16,1.4875,23.2
2022/3/31,4222.6,1.4706,20.3
2022/3/30,4254.1,1.4896,23.5
2022/3/29,4134.14,1.4623,18.9
2022/3/28,4148.47,1.465,19.4
2022/3/25,4174.57,1.4711,20.4
2022/3/24,4251.31,1.495,24.4
2022/3/23,4276.52,1.5019,25.7
2022/3/22,4255.3,1.4963,24.6
2022/3/21,4258.75,1.4938,24.2
2022/3/18,4265.9,1.4991,25.1
2022/3/17,4237.7,1.4887,23.4
2022/3/16,4156.08,1.4651,19.5
2022/3/15,3983.81,1.4121,14
2022/3/14,4174.76,1.4778,21.2
2022/3/11,4306.52,1.5196,28.6
2022/3/10,4292.84,1.5143,27.8
2022/3/9,4226.35,1.4963,24.6
2022/3/8,4265.39,1.511,27.2
2022/3/7,4352.78,1.541,31.5
2022/3/4,4496.43,1.5848,35.2
2022/3/3,4551.63,1.6017,36.4
2022/3/2,4578.6,1.6064,36.9
2022/3/1,4619.69,1.617,38
2022/2/28,4581.65,1.6041,36.7
2022/2/25,4573.42,1.6006,36.3
2022/2/24,4529.32,1.5904,35.6
2022/2/23,4623.05,1.6203,38.5
2022/2/22,4574.15,1.609,37.4
2022/2/21,4634.31,1.6272,39.4
2022/2/18,4651.24,1.6324,40.1
2022/2/17,4629.16,1.6244,39
2022/2/16,4617.99,1.6223,38.7
2022/2/15,4600.1,1.6155,37.8
2022/2/14,4551.69,1.6043,36.7
2022/2/11,4601.4,1.6228,38.8
2022/2/10,4639.86,1.6299,39.8
2022/2/9,4652.06,1.6298,39.8
2022/2/8,4608.77,1.6174,38.1
2022/2/7,4634.09,1.617,38
2022/1/28,4563.77,1.5876,35.4
2022/1/27,4619.88,1.6077,37.2
2022/1/26,4712.31,1.6375,40.5
2022/1/25,4678.45,1.626,39.2
2022/1/24,4786.74,1.6621,43.8
2022/1/21,4779.31,1.6601,43.5
2022/1/20,4823.51,1.6753,45.9
2022/1/19,4780.38,1.6614,43.7
2022/1/18,4813.35,1.671,45.1
2022/1/17,4767.28,1.6522,42.6
2022/1/14,4726.73,1.642,41.1
2022/1/13,4765.92,1.6596,43.5
2022/1/12,4845.58,1.6809,46.9
